customer_id,customer_name,email,signup_date,segment,province
C000429,Customer_429,customer_429@example.com,2020-02-15,High Value,QC
C004913,Customer_4913,customer_4913@example.com,2020-02-15,High Value,NL
C005114,Customer_5114,customer_5114@example.com,2020-02-15,High Value,NL
C001399,Customer_1399,customer_1399@example.com,2020-02-15,Returning,BC
C007398,Customer_7398,customer_7398@example.com,2020-02-15,New,QC
C005405,Customer_5405,customer_5405@example.com,2020-02-15,New,QC
C003997,Customer_3997,customer_3997@example.com,2020-02-16,High Value,NS
C008621,Customer_8621,customer_8621@example.com,2020-02-16,Returning,PE
C006616,Customer_6616,customer_6616@example.com,2020-02-16,New,AB
C004260,Customer_4260,customer_4260@example.com,2020-02-16,Returning,ON
C006369,Customer_6369,customer_6369@example.com,2020-02-17,Returning,ON
C008760,Customer_8760,customer_8760@example.com,2020-02-17,Returning,NB
C006666,Customer_6666,customer_6666@example.com,2020-02-17,Returning,QC
C004645,Customer_4645,,2020-02-18,High Value,PE
C006600,Customer_6600,,2020-02-18,New,BC
C002223,Customer_2223,customer_2223@example.com,2020-02-18,Returning,BC
C005529,Customer_5529,customer_5529@example.com,2020-02-18,New,SK
C002329,Customer_2329,customer_2329@example.com,2020-02-18,New,NS
C002410,Customer_2410,customer_2410@example.com,2020-02-18,New,SK
C002636,Customer_2636,customer_2636@example.com,2020-02-18,New,SK
C007485,Customer_7485,customer_7485@example.com,2020-02-19,Returning,NB
C003486,Customer_3486,customer_3486@example.com,2020-02-19,High Value,NL
C002469,Customer_2469,customer_2469@example.com,2020-02-19,Returning,BC
C006384,Customer_6384,customer_6384@example.com,2020-02-19,Returning,BC
C008539,Customer_8539,customer_8539@example.com,2020-02-19,New,NL
C008669,Customer_8669,customer_8669@example.com,2020-02-19,Returning,AB
C006788,Customer_6788,,2020-02-21,New,PE
C005630,Customer_5630,customer_5630@example.com,2020-02-21,Returning,NL
C004715,Customer_4715,customer_4715@example.com,2020-02-21,New,NB
C008409,Customer_8409,customer_8409@example.com,2020-02-22,New,NB
C000830,Customer_830,customer_830@example.com,2020-02-22,Returning,AB
C009631,Customer_9631,customer_9631@example.com,2020-02-22,New,NL
C008150,Customer_8150,customer_8150@example.com,2020-02-23,New,BC
C009505,Customer_9505,,2020-02-23,Returning,ON
C007823,Customer_7823,,2020-02-24,New,NB
C007011,Customer_7011,customer_7011@example.com,2020-02-24,High Value,ON
C009084,Customer_9084,customer_9084@example.com,2020-02-24,New,NB
C001590,Customer_1590,customer_1590@example.com,2020-02-24,Returning,QC
C006907,Customer_6907,customer_6907@example.com,2020-02-24,Returning,NS
C008860,Customer_8860,customer_8860@example.com,2020-02-24,High Value,PE
C005429,Customer_5429,customer_5429@example.com,2020-02-24,Returning,AB
C003537,Customer_3537,customer_3537@example.com,2020-02-24,New,PE
C001869,Customer_1869,customer_1869@example.com,2020-02-25,Returning,AB
C004531,Customer_4531,customer_4531@example.com,2020-02-25,Returning,NL
C006573,Customer_6573,customer_6573@example.com,2020-02-25,New,MB
C007284,Customer_7284,customer_7284@example.com,2020-02-25,New,ON
C002559,Customer_2559,customer_2559@example.com,2020-02-26,High Value,BC
C004160,Customer_4160,customer_4160@example.com,2020-02-26,Returning,AB
C009938,Customer_9938,,2020-02-26,New,NS
C003458,Customer_3458,customer_3458@example.com,2020-02-26,High Value,NL
C006917,Customer_6917,customer_6917@example.com,2020-02-26,Returning,SK
C005120,Customer_5120,customer_5120@example.com,2020-02-26,New,NS
C002951,Customer_2951,customer_2951@example.com,2020-02-27,Returning,NL
C008294,Customer_8294,customer_8294@example.com,2020-02-27,New,NS
C004036,Customer_4036,,2020-02-28,New,MB
C005396,Customer_5396,customer_5396@example.com,2020-02-28,Returning,NB
C003682,Customer_3682,customer_3682@example.com,2020-02-28,Returning,QC
C000385,Customer_385,customer_385@example.com,2020-02-28,New,NB
C008464,Customer_8464,customer_8464@example.com,2020-02-29,New,NB
C004642,Customer_4642,customer_4642@example.com,2020-02-29,New,ON
C004244,Customer_4244,,2020-02-29,New,AB
C002499,Customer_2499,customer_2499@example.com,2020-02-29,Returning,ON
C004275,Customer_4275,customer_4275@example.com,2020-03-01,Returning,ON
C005500,Customer_5500,customer_5500@example.com,2020-03-01,Returning,MB
C006761,Customer_6761,customer_6761@example.com,2020-03-01,Returning,NS
C006445,Customer_6445,customer_6445@example.com,2020-03-02,New,NB
C008286,Customer_8286,customer_8286@example.com,2020-03-02,Returning,AB
C005002,Customer_5002,customer_5002@example.com,2020-03-02,Returning,MB
C005467,Customer_5467,customer_5467@example.com,2020-03-02,New,MB
C006293,Customer_6293,customer_6293@example.com,2020-03-02,New,AB
C005838,Customer_5838,customer_5838@example.com,2020-03-03,Returning,SK
C009187,Customer_9187,customer_9187@example.com,2020-03-03,New,SK
C006565,Customer_6565,customer_6565@example.com,2020-03-03,New,QC
C000147,Customer_147,customer_147@example.com,2020-03-04,High Value,NL
C009346,Customer_9346,customer_9346@example.com,2020-03-04,New,PE
C005503,Customer_5503,customer_5503@example.com,2020-03-05,New,PE
C003320,Customer_3320,customer_3320@example.com,2020-03-05,Returning,MB
C002866,Customer_2866,customer_2866@example.com,2020-03-05,Returning,NL
C005069,Customer_5069,customer_5069@example.com,2020-03-05,New,PE
C006908,Customer_6908,customer_6908@example.com,2020-03-05,High Value,NL
C001683,Customer_1683,customer_1683@example.com,2020-03-05,Returning,NB
C000663,Customer_663,customer_663@example.com,2020-03-05,Returning,MB
C001446,Customer_1446,customer_1446@example.com,2020-03-06,New,NL
C000970,Customer_970,customer_970@example.com,2020-03-06,Returning,BC
C004945,Customer_4945,customer_4945@example.com,2020-03-06,New,BC
C007868,Customer_7868,customer_7868@example.com,2020-03-06,Returning,NB
C004552,Customer_4552,customer_4552@example.com,2020-03-07,New,NS
C006744,Customer_6744,customer_6744@example.com,2020-03-07,New,AB
C006359,Customer_6359,customer_6359@example.com,2020-03-08,New,ON
C006901,Customer_6901,customer_6901@example.com,2020-03-08,New,AB
C009136,Customer_9136,customer_9136@example.com,2020-03-08,Returning,BC
C003633,Customer_3633,customer_3633@example.com,2020-03-08,New,ON
C004969,Customer_4969,customer_4969@example.com,2020-03-08,New,NS
C000328,Customer_328,customer_328@example.com,2020-03-09,High Value,QC
C006510,Customer_6510,customer_6510@example.com,2020-03-09,New,NL
C003545,Customer_3545,customer_3545@example.com,2020-03-09,New,QC
C000117,Customer_6577,customer_6577@example.com,2020-03-10,New,PE
C007399,Customer_7399,customer_7399@example.com,2020-03-11,New,NL
C006706,Customer_6706,customer_6706@example.com,2020-03-11,Returning,SK
C006279,Customer_6279,,2020-03-11,Returning,MB
C004458,Customer_4458,customer_4458@example.com,2020-03-11,New,PE
C003240,Customer_3240,customer_3240@example.com,2020-03-11,New,NB
C009288,Customer_9288,customer_9288@example.com,2020-03-12,New,BC
C002203,Customer_2203,customer_2203@example.com,2020-03-12,New,SK
C007382,Customer_7382,customer_7382@example.com,2020-03-12,Returning,AB
C007772,Customer_7772,customer_7772@example.com,2020-03-12,New,NB
C009825,Customer_9825,customer_9825@example.com,2020-03-13,Returning,NS
C005628,Customer_5628,customer_5628@example.com,2020-03-13,New,MB
C007676,Customer_7676,customer_7676@example.com,2020-03-13,New,SK
C004236,Customer_4236,customer_4236@example.com,2020-03-13,New,ON
C004592,Customer_4592,customer_4592@example.com,2020-03-13,New,PE
C007111,Customer_7111,customer_7111@example.com,2020-03-13,Returning,NB
C002772,Customer_2772,customer_2772@example.com,2020-03-14,New,QC
C000870,Customer_870,customer_870@example.com,2020-03-14,New,AB
C008948,Customer_8948,customer_8948@example.com,2020-03-14,New,ON
C006352,Customer_6352,customer_6352@example.com,2020-03-14,Returning,ON
C002038,Customer_2038,customer_2038@example.com,2020-03-14,Returning,NB
C002728,Customer_2728,customer_2728@example.com,2020-03-14,New,MB
C008882,Customer_8882,customer_8882@example.com,2020-03-15,New,ON
C008253,Customer_8253,customer_8253@example.com,2020-03-15,Returning,QC
C008569,Customer_8569,customer_8569@example.com,2020-03-15,New,ON
C009665,Customer_9665,customer_9665@example.com,2020-03-15,New,PE
C002881,Customer_2881,customer_2881@example.com,2020-03-15,New,NB
C008645,Customer_8645,customer_8645@example.com,2020-03-16,New,MB
C000250,Customer_250,customer_250@example.com,2020-03-16,High Value,MB
C007689,Customer_7689,customer_7689@example.com,2020-03-17,New,ON
C008552,Customer_8552,customer_8552@example.com,2020-03-17,Returning,ON
C008079,Customer_8079,customer_8079@example.com,2020-03-17,Returning,QC
C000902,Customer_902,customer_902@example.com,2020-03-18,New,QC
C004320,Customer_4320,,2020-03-18,New,SK
C003880,Customer_3880,customer_3880@example.com,2020-03-18,Returning,ON
C006268,Customer_6268,customer_6268@example.com,2020-03-19,Returning,QC
C008028,Customer_8028,customer_8028@example.com,2020-03-19,Returning,NS
C006520,Customer_6520,customer_6520@example.com,2020-03-19,Returning,NB
C000817,Customer_817,customer_817@example.com,2020-03-19,New,BC
C002339,Customer_2339,customer_2339@example.com,2020-03-20,New,PE
C000056,Customer_56,customer_56@example.com,2020-03-20,New,MB
C009541,Customer_9541,customer_9541@example.com,2020-03-21,Returning,QC
C002522,Customer_2522,customer_2522@example.com,2020-03-21,New,ON
C002371,Customer_2371,customer_2371@example.com,2020-03-21,New,QC
C007190,Customer_7190,customer_7190@example.com,2020-03-22,New,ON
C004776,Customer_4776,customer_4776@example.com,2020-03-22,New,NS
C001110,Customer_1110,customer_1110@example.com,2020-03-22,Returning,NS
C000397,Customer_397,customer_397@example.com,2020-03-22,New,MB
C001806,Customer_1806,customer_1806@example.com,2020-03-23,Returning,NL
C000352,Customer_352,customer_352@example.com,2020-03-23,Returning,NL
C008918,Customer_8918,customer_8918@example.com,2020-03-23,Returning,NB
C004269,Customer_4269,customer_4269@example.com,2020-03-23,High Value,NL
C002780,Customer_2780,customer_2780@example.com,2020-03-23,Returning,MB
C004127,Customer_4127,customer_4127@example.com,2020-03-24,New,NL
C003871,Customer_3871,customer_3871@example.com,2020-03-24,Returning,SK
C005680,Customer_5680,customer_5680@example.com,2020-03-24,Returning,NB
C003852,Customer_3852,customer_3852@example.com,2020-03-24,New,PE
C003013,Customer_3013,,2020-03-24,Returning,PE
C006313,Customer_6313,customer_6313@example.com,2020-03-25,Returning,ON
C007911,Customer_7911,customer_7911@example.com,2020-03-25,Returning,ON
C005093,Customer_5093,customer_5093@example.com,2020-03-26,New,SK
C006885,Customer_6885,customer_6885@example.com,2020-03-26,New,PE
C001781,Customer_1781,customer_1781@example.com,2020-03-26,New,PE
C004022,Customer_4022,customer_4022@example.com,2020-03-27,High Value,ON
C001526,Customer_1526,customer_1526@example.com,2020-03-27,High Value,QC
C007396,Customer_7396,customer_7396@example.com,2020-03-27,New,NS
C009053,Customer_9053,,2020-03-27,High Value,BC
C006612,Customer_6612,customer_6612@example.com,2020-03-27,Returning,NB
C004770,Customer_4770,customer_4770@example.com,2020-03-27,New,BC
C001463,Customer_1463,customer_1463@example.com,2020-03-27,Returning,AB
C009082,Customer_9082,customer_9082@example.com,2020-03-29,New,ON
C009893,Customer_9893,customer_9893@example.com,2020-03-29,New,SK
C001518,Customer_1518,customer_1518@example.com,2020-03-29,Returning,NB
C001270,Customer_1270,,2020-03-29,New,NB
C005548,Customer_5548,customer_5548@example.com,2020-03-30,New,AB
C002884,Customer_2884,customer_2884@example.com,2020-03-30,Returning,PE
C000574,Customer_574,customer_574@example.com,2020-03-30,High Value,PE
C001286,Customer_1286,customer_1286@example.com,2020-03-30,Returning,QC
C004347,Customer_4347,customer_4347@example.com,2020-03-31,New,AB
C005991,Customer_5991,customer_5991@example.com,2020-03-31,Returning,AB
C005055,Customer_5055,customer_5055@example.com,2020-03-31,High Value,NB
C008215,Customer_8215,customer_8215@example.com,2020-04-01,High Value,NL
C008265,Customer_8265,customer_8265@example.com,2020-04-01,New,NL
C006809,Customer_6809,customer_6809@example.com,2020-04-01,New,NL
C000699,Customer_699,customer_699@example.com,2020-04-01,High Value,NB
C004952,Customer_4952,customer_4952@example.com,2020-04-01,High Value,NS
C001976,Customer_1976,customer_1976@example.com,2020-04-01,New,SK
C003338,Customer_3338,customer_3338@example.com,2020-04-02,New,MB
C003464,Customer_3464,customer_3464@example.com,2020-04-02,High Value,SK
C002972,Customer_2972,customer_2972@example.com,2020-04-02,New,PE
C002505,Customer_2505,customer_2505@example.com,2020-04-02,Returning,NB
C001642,Customer_1642,customer_1642@example.com,2020-04-02,High Value,NB
C001464,Customer_1464,customer_1464@example.com,2020-04-03,New,SK
C004986,Customer_4986,customer_4986@example.com,2020-04-03,High Value,NB
C001453,Customer_1453,customer_1453@example.com,2020-04-03,Returning,NB
C001653,Customer_1653,customer_1653@example.com,2020-04-04,Returning,SK
C000848,Customer_848,customer_848@example.com,2020-04-04,New,ON
C004724,Customer_4724,customer_4724@example.com,2020-04-04,New,ON
C007290,Customer_7290,customer_7290@example.com,2020-04-04,New,NS
C004120,Customer_4120,customer_4120@example.com,2020-04-04,High Value,MB
C000584,Customer_584,customer_584@example.com,2020-04-04,Returning,ON
C007965,Customer_7965,customer_7965@example.com,2020-04-05,Returning,MB
C008824,Customer_8824,customer_8824@example.com,2020-04-05,High Value,BC
C009272,Customer_9272,customer_9272@example.com,2020-04-06,High Value,NL
C000887,Customer_887,customer_887@example.com,2020-04-06,New,MB
C002618,Customer_2618,customer_2618@example.com,2020-04-06,Returning,PE
C002314,Customer_2314,customer_2314@example.com,2020-04-06,Returning,AB
C008287,Customer_8287,customer_8287@example.com,2020-04-06,High Value,ON
C007360,Customer_7360,customer_7360@example.com,2020-04-07,High Value,NS
C000546,Customer_546,customer_546@example.com,2020-04-07,New,ON
C005012,Customer_5012,customer_5012@example.com,2020-04-07,Returning,NS
C006205,Customer_6205,customer_6205@example.com,2020-04-08,New,SK
C005646,Customer_5646,customer_5646@example.com,2020-04-08,New,MB
C001983,Customer_1983,customer_1983@example.com,2020-04-08,New,NB
C000898,Customer_898,customer_898@example.com,2020-04-09,High Value,PE
C006327,Customer_6327,customer_6327@example.com,2020-04-09,Returning,NS
C007954,Customer_7954,customer_7954@example.com,2020-04-10,Returning,BC
C003800,Customer_3800,customer_3800@example.com,2020-04-10,Returning,MB
C004185,Customer_4185,customer_4185@example.com,2020-04-11,Returning,BC
C000542,Customer_542,customer_542@example.com,2020-04-11,Returning,QC
C003781,Customer_3781,customer_3781@example.com,2020-04-12,Returning,NL
C004702,Customer_4702,customer_4702@example.com,2020-04-12,New,AB
C001021,Customer_1021,customer_1021@example.com,2020-04-12,High Value,PE
C005653,Customer_5653,customer_5653@example.com,2020-04-13,High Value,AB
C003357,Customer_3357,customer_3357@example.com,2020-04-13,Returning,ON
C006276,Customer_6276,customer_6276@example.com,2020-04-13,New,PE
C005475,Customer_5475,customer_5475@example.com,2020-04-14,New,SK
C007320,Customer_7320,customer_7320@example.com,2020-04-14,High Value,SK
C001979,Customer_1979,customer_1979@example.com,2020-04-14,Returning,NL
C006838,Customer_6838,customer_6838@example.com,2020-04-14,High Value,NB
C001801,Customer_1801,customer_1801@example.com,2020-04-14,Returning,ON
C006370,Customer_6370,customer_6370@example.com,2020-04-15,High Value,NS
C005816,Customer_5816,,2020-04-15,New,NS
C009437,Customer_9437,customer_9437@example.com,2020-04-15,New,BC
C003184,Customer_3184,customer_3184@example.com,2020-04-15,New,NB
C007530,Customer_7530,customer_7530@example.com,2020-04-16,New,MB
C001136,Customer_1136,customer_1136@example.com,2020-04-16,New,SK
